,Availability,region,year,policy,agg.land,value
64279,50 percent,Global,2075,CORE,Crops,17360.42741
64280,60 percent,Global,2075,CORE,Crops,17529.29651
64281,70 percent,Global,2075,CORE,Crops,17662.60257
64282,80 percent,Global,2075,CORE,Crops,17770.73954
64283,90 percent,Global,2075,CORE,Crops,17859.72078
64284,High Availability,Global,2075,CORE,Crops,17742.66879
64285,Low Availability,Global,2075,CORE,Crops,17687.54796
64286,0 percent,Global,2080,CORE,Crops,13898.26474
64287,10 percent,Global,2080,CORE,Crops,15641.73421
64288,100 percent,Global,2080,CORE,Crops,17992.24341
64289,20 percent,Global,2080,CORE,Crops,16402.1919
64290,30 percent,Global,2080,CORE,Crops,16860.68251
64291,40 percent,Global,2080,CORE,Crops,17172.49763
64292,50 percent,Global,2080,CORE,Crops,17399.70704
64293,60 percent,Global,2080,CORE,Crops,17573.5092
64294,70 percent,Global,2080,CORE,Crops,17710.95061
64295,80 percent,Global,2080,CORE,Crops,17822.5303
64296,90 percent,Global,2080,CORE,Crops,17914.70218
64297,High Availability,Global,2080,CORE,Crops,17796.6681
64298,Low Availability,Global,2080,CORE,Crops,17739.30631
64299,0 percent,Global,2085,CORE,Crops,13901.02225
64300,10 percent,Global,2085,CORE,Crops,15650.59011
64301,100 percent,Global,2085,CORE,Crops,18028.84379
64302,20 percent,Global,2085,CORE,Crops,16412.18571
64303,30 percent,Global,2085,CORE,Crops,16875.21557
64304,40 percent,Global,2085,CORE,Crops,17192.5154
64305,50 percent,Global,2085,CORE,Crops,17424.51274
64306,60 percent,Global,2085,CORE,Crops,17601.84349
64307,70 percent,Global,2085,CORE,Crops,17741.99698
64308,80 percent,Global,2085,CORE,Crops,17855.38224
64309,90 percent,Global,2085,CORE,Crops,17949.50772
64310,High Availability,Global,2085,CORE,Crops,17832.35628
64311,Low Availability,Global,2085,CORE,Crops,17773.43427
64312,0 percent,Global,2090,CORE,Crops,13899.22623
64313,10 percent,Global,2090,CORE,Crops,15650.09001
64314,100 percent,Global,2090,CORE,Crops,18043.87566
64315,20 percent,Global,2090,CORE,Crops,16410.4765
64316,30 percent,Global,2090,CORE,Crops,16876.11435
64317,40 percent,Global,2090,CORE,Crops,17196.89985
64318,50 percent,Global,2090,CORE,Crops,17431.90877
64319,60 percent,Global,2090,CORE,Crops,17611.599
64320,70 percent,Global,2090,CORE,Crops,17753.39193
64321,80 percent,Global,2090,CORE,Crops,17868.44527
64322,90 percent,Global,2090,CORE,Crops,17963.77031
64323,High Availability,Global,2090,CORE,Crops,17848.35573
64324,Low Availability,Global,2090,CORE,Crops,17788.25096
64325,0 percent,Global,2095,CORE,Crops,13900.09754
64326,10 percent,Global,2095,CORE,Crops,15643.19375
64327,100 percent,Global,2095,CORE,Crops,18035.78553
64328,20 percent,Global,2095,CORE,Crops,16397.04684
64329,30 percent,Global,2095,CORE,Crops,16862.31346
64330,40 percent,Global,2095,CORE,Crops,17183.83355
64331,50 percent,Global,2095,CORE,Crops,17419.85334
64332,60 percent,Global,2095,CORE,Crops,17600.56404
64333,70 percent,Global,2095,CORE,Crops,17743.56013
64334,80 percent,Global,2095,CORE,Crops,17859.52652
64335,90 percent,Global,2095,CORE,Crops,17955.29887
64336,High Availability,Global,2095,CORE,Crops,17841.6441
64337,Low Availability,Global,2095,CORE,Crops,17780.91673
64338,0 percent,Global,2100,CORE,Crops,13899.23699
64339,10 percent,Global,2100,CORE,Crops,15626.13297
64340,100 percent,Global,2100,CORE,Crops,18006.35028
64341,20 percent,Global,2100,CORE,Crops,16372.30005
64342,30 percent,Global,2100,CORE,Crops,16834.12206
64343,40 percent,Global,2100,CORE,Crops,17155.11555
64344,50 percent,Global,2100,CORE,Crops,17390.92638
64345,60 percent,Global,2100,CORE,Crops,17571.5387
64346,70 percent,Global,2100,CORE,Crops,17714.35841
64347,80 percent,Global,2100,CORE,Crops,17829.9367
64348,90 percent,Global,2100,CORE,Crops,17925.68519
64349,High Availability,Global,2100,CORE,Crops,17813.9067
64350,Low Availability,Global,2100,CORE,Crops,17753.07682
64351,0 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64352,10 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64353,100 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64354,20 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64355,30 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64356,40 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64357,50 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64358,60 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64359,70 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64360,80 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64361,90 percent,Global,1975,CORE,Forests (Harvested),2367.701451
64362,High Availability,Global,1975,CORE,Forests (Harvested),2367.701451
64363,Low Availability,Global,1975,CORE,Forests (Harvested),2367.701451
64364,0 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64365,10 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64366,100 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64367,20 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64368,30 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64369,40 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64370,50 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64371,60 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64372,70 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64373,80 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64374,90 percent,Global,1990,CORE,Forests (Harvested),2727.846019
64375,High Availability,Global,1990,CORE,Forests (Harvested),2727.846019
64376,Low Availability,Global,1990,CORE,Forests (Harvested),2727.846019
64377,0 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64378,10 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64379,100 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64380,20 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64381,30 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64382,40 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64383,50 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64384,60 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64385,70 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64386,80 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64387,90 percent,Global,2005,CORE,Forests (Harvested),2718.52073
64388,High Availability,Global,2005,CORE,Forests (Harvested),2718.52073
64389,Low Availability,Global,2005,CORE,Forests (Harvested),2718.52073
64390,0 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64391,10 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64392,100 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64393,20 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64394,30 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64395,40 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64396,50 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64397,60 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64398,70 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64399,80 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64400,90 percent,Global,2010,CORE,Forests (Harvested),2650.565182
64401,High Availability,Global,2010,CORE,Forests (Harvested),2650.565182
64402,Low Availability,Global,2010,CORE,Forests (Harvested),2650.565182
64403,0 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64404,10 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64405,100 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64406,20 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64407,30 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64408,40 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64409,50 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64410,60 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64411,70 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64412,80 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64413,90 percent,Global,2015,CORE,Forests (Harvested),2801.799145
64414,High Availability,Global,2015,CORE,Forests (Harvested),2801.799145
64415,Low Availability,Global,2015,CORE,Forests (Harvested),2801.799145
64416,0 percent,Global,2020,CORE,Forests (Harvested),2923.199783
64417,10 percent,Global,2020,CORE,Forests (Harvested),2955.035284
64418,100 percent,Global,2020,CORE,Forests (Harvested),2970.104499
64419,20 percent,Global,2020,CORE,Forests (Harvested),2961.266276
64420,30 percent,Global,2020,CORE,Forests (Harvested),2964.242719
64421,40 percent,Global,2020,CORE,Forests (Harvested),2966.036741
64422,50 percent,Global,2020,CORE,Forests (Harvested),2967.251172
64423,60 percent,Global,2020,CORE,Forests (Harvested),2968.128802
64424,70 percent,Global,2020,CORE,Forests (Harvested),2968.799774
64425,80 percent,Global,2020,CORE,Forests (Harvested),2969.325608
64426,90 percent,Global,2020,CORE,Forests (Harvested),2969.751954
64427,High Availability,Global,2020,CORE,Forests (Harvested),2968.425048
64428,Low Availability,Global,2020,CORE,Forests (Harvested),2968.027341
64429,0 percent,Global,2025,CORE,Forests (Harvested),3010.855997
64430,10 percent,Global,2025,CORE,Forests (Harvested),3092.032366
64431,100 percent,Global,2025,CORE,Forests (Harvested),3135.201767
64432,20 percent,Global,2025,CORE,Forests (Harvested),3109.097509
64433,30 percent,Global,2025,CORE,Forests (Harvested),3117.519494
64434,40 percent,Global,2025,CORE,Forests (Harvested),3122.736465
64435,50 percent,Global,2025,CORE,Forests (Harvested),3126.339775
64436,60 percent,Global,2025,CORE,Forests (Harvested),3129.000522
64437,70 percent,Global,2025,CORE,Forests (Harvested),3131.061597
64438,80 percent,Global,2025,CORE,Forests (Harvested),3132.710739
64439,90 percent,Global,2025,CORE,Forests (Harvested),3134.066068
64440,High Availability,Global,2025,CORE,Forests (Harvested),3128.017308
64441,Low Availability,Global,2025,CORE,Forests (Harvested),3126.759413
64442,0 percent,Global,2030,CORE,Forests (Harvested),3108.83838
64443,10 percent,Global,2030,CORE,Forests (Harvested),3237.222338
64444,100 percent,Global,2030,CORE,Forests (Harvested),3306.29489
64445,20 percent,Global,2030,CORE,Forests (Harvested),3264.69663
64446,30 percent,Global,2030,CORE,Forests (Harvested),3278.116793
64447,40 percent,Global,2030,CORE,Forests (Harvested),3286.39442
64448,50 percent,Global,2030,CORE,Forests (Harvested),3292.162635
64449,60 percent,Global,2030,CORE,Forests (Harvested),3296.421772
64450,70 percent,Global,2030,CORE,Forests (Harvested),3299.71167
64451,80 percent,Global,2030,CORE,Forests (Harvested),3302.339929
64452,90 percent,Global,2030,CORE,Forests (Harvested),3304.494833
64453,High Availability,Global,2030,CORE,Forests (Harvested),3294.882245
64454,Low Availability,Global,2030,CORE,Forests (Harvested),3292.882056
64455,0 percent,Global,2035,CORE,Forests (Harvested),3186.541117
64456,10 percent,Global,2035,CORE,Forests (Harvested),3365.810987
64457,100 percent,Global,2035,CORE,Forests (Harvested),3464.79279
64458,20 percent,Global,2035,CORE,Forests (Harvested),3405.533265
64459,30 percent,Global,2035,CORE,Forests (Harvested),3424.892339
64460,40 percent,Global,2035,CORE,Forests (Harvested),3436.760169
64461,50 percent,Global,2035,CORE,Forests (Harvested),3444.920503
64462,60 percent,Global,2035,CORE,Forests (Harvested),3450.921803
64463,70 percent,Global,2035,CORE,Forests (Harvested),3455.545193
64464,80 percent,Global,2035,CORE,Forests (Harvested),3459.242891
64465,90 percent,Global,2035,CORE,Forests (Harvested),3462.268649
64466,High Availability,Global,2035,CORE,Forests (Harvested),3449.230394
64467,Low Availability,Global,2035,CORE,Forests (Harvested),3446.455157
64468,0 percent,Global,2040,CORE,Forests (Harvested),3258.609884
64469,10 percent,Global,2040,CORE,Forests (Harvested),3486.185271
64470,100 percent,Global,2040,CORE,Forests (Harvested),3616.320054
64471,20 percent,Global,2040,CORE,Forests (Harvested),3538.937902
64472,30 percent,Global,2040,CORE,Forests (Harvested),3564.241101
64473,40 percent,Global,2040,CORE,Forests (Harvested),3579.696981
64474,50 percent,Global,2040,CORE,Forests (Harvested),3590.327385
64475,60 percent,Global,2040,CORE,Forests (Harvested),3598.130925
64476,70 percent,Global,2040,CORE,Forests (Harvested),3604.131423
64477,80 percent,Global,2040,CORE,Forests (Harvested),3608.906942
64478,90 percent,Global,2040,CORE,Forests (Harvested),3612.804343
64479,High Availability,Global,2040,CORE,Forests (Harvested),3597.200266
64480,Low Availability,Global,2040,CORE,Forests (Harvested),3593.861802
64481,0 percent,Global,2045,CORE,Forests (Harvested),3309.497256
64482,10 percent,Global,2045,CORE,Forests (Harvested),3590.646833
64483,100 percent,Global,2045,CORE,Forests (Harvested),3757.205231
64484,20 percent,Global,2045,CORE,Forests (Harvested),3659.144079
64485,30 percent,Global,2045,CORE,Forests (Harvested),3691.727675
64486,40 percent,Global,2045,CORE,Forests (Harvested),3711.430145
64487,50 percent,Global,2045,CORE,Forests (Harvested),3724.832985
64488,60 percent,Global,2045,CORE,Forests (Harvested),3734.639369
64489,70 percent,Global,2045,CORE,Forests (Harvested),3742.195167
64490,80 percent,Global,2045,CORE,Forests (Harvested),3748.212629
64491,90 percent,Global,2045,CORE,Forests (Harvested),3753.124036
64492,High Availability,Global,2045,CORE,Forests (Harvested),3734.939336
64493,Low Availability,Global,2045,CORE,Forests (Harvested),3730.628718
64494,0 percent,Global,2050,CORE,Forests (Harvested),3344.584238
64495,10 percent,Global,2050,CORE,Forests (Harvested),3679.709635
64496,100 percent,Global,2050,CORE,Forests (Harvested),3887.483203
64497,20 percent,Global,2050,CORE,Forests (Harvested),3765.643801
64498,30 percent,Global,2050,CORE,Forests (Harvested),3806.489397
64499,40 percent,Global,2050,CORE,Forests (Harvested),3831.073588
64500,50 percent,Global,2050,CORE,Forests (Harvested),3847.726487
64501,60 percent,Global,2050,CORE,Forests (Harvested),3859.865654
64502,70 percent,Global,2050,CORE,Forests (Harvested),3869.159472
64503,80 percent,Global,2050,CORE,Forests (Harvested),3876.520787
64504,90 percent,Global,2050,CORE,Forests (Harvested),3882.508177
64505,High Availability,Global,2050,CORE,Forests (Harvested),3861.886084
64506,Low Availability,Global,2050,CORE,Forests (Harvested),3856.659728
64507,0 percent,Global,2055,CORE,Forests (Harvested),3361.02721
64508,10 percent,Global,2055,CORE,Forests (Harvested),3751.104788
64509,100 percent,Global,2055,CORE,Forests (Harvested),4006.909662
64510,20 percent,Global,2055,CORE,Forests (Harvested),3857.575031
64511,30 percent,Global,2055,CORE,Forests (Harvested),3908.044158
64512,40 percent,Global,2055,CORE,Forests (Harvested),3938.266177
64513,50 percent,Global,2055,CORE,Forests (Harvested),3958.69664
64514,60 percent,Global,2055,CORE,Forests (Harvested),3973.48484
64515,70 percent,Global,2055,CORE,Forests (Harvested),3984.770241
64516,80 percent,Global,2055,CORE,Forests (Harvested),3993.678295
64517,90 percent,Global,2055,CORE,Forests (Harvested),4000.929098
64518,High Availability,Global,2055,CORE,Forests (Harvested),3978.248923
64519,Low Availability,Global,2055,CORE,Forests (Harvested),3971.98498
64520,0 percent,Global,2060,CORE,Forests (Harvested),3384.292349
64521,10 percent,Global,2060,CORE,Forests (Harvested),3816.919986
64522,100 percent,Global,2060,CORE,Forests (Harvested),4119.901199
64523,20 percent,Global,2060,CORE,Forests (Harvested),3943.783377
64524,30 percent,Global,2060,CORE,Forests (Harvested),4003.773614
64525,40 percent,Global,2060,CORE,Forests (Harvested),4039.458877
64526,50 percent,Global,2060,CORE,Forests (Harvested),4063.476513
64527,60 percent,Global,2060,CORE,Forests (Harvested),4080.874135
64528,70 percent,Global,2060,CORE,Forests (Harvested),4094.109881
64529,80 percent,Global,2060,CORE,Forests (Harvested),4104.522057
64530,90 percent,Global,2060,CORE,Forests (Harvested),4112.937917
64531,High Availability,Global,2060,CORE,Forests (Harvested),4088.555347
64532,Low Availability,Global,2060,CORE,Forests (Harvested),4081.325814
64533,0 percent,Global,2065,CORE,Forests (Harvested),3403.036339
64534,10 percent,Global,2065,CORE,Forests (Harvested),3874.337997
64535,100 percent,Global,2065,CORE,Forests (Harvested),4224.099005
64536,20 percent,Global,2065,CORE,Forests (Harvested),4020.304945
64537,30 percent,Global,2065,CORE,Forests (Harvested),4090.464241
64538,40 percent,Global,2065,CORE,Forests (Harvested),4131.855676
64539,50 percent,Global,2065,CORE,Forests (Harvested),4159.561651
64540,60 percent,Global,2065,CORE,Forests (Harvested),4179.551609
64541,70 percent,Global,2065,CORE,Forests (Harvested),4194.695849
64542,80 percent,Global,2065,CORE,Forests (Harvested),4206.599045
64543,90 percent,Global,2065,CORE,Forests (Harvested),4216.190118
64544,High Availability,Global,2065,CORE,Forests (Harvested),4190.443244
64545,Low Availability,Global,2065,CORE,Forests (Harvested),4182.258802
64546,0 percent,Global,2070,CORE,Forests (Harvested),3422.942443
64547,10 percent,Global,2070,CORE,Forests (Harvested),3926.529063
64548,100 percent,Global,2070,CORE,Forests (Harvested),4318.700033
64549,20 percent,Global,2070,CORE,Forests (Harvested),4089.145721
64550,30 percent,Global,2070,CORE,Forests (Harvested),4168.124694
64551,40 percent,Global,2070,CORE,Forests (Harvested),4215.062754
64552,50 percent,Global,2070,CORE,Forests (Harvested),4246.425497
64553,60 percent,Global,2070,CORE,Forests (Harvested),4268.912862
64554,70 percent,Global,2070,CORE,Forests (Harvested),4285.884638
64555,80 percent,Global,2070,CORE,Forests (Harvested),4299.181
64556,90 percent,Global,2070,CORE,Forests (Harvested),4309.890036
64557,High Availability,Global,2070,CORE,Forests (Harvested),4283.229073
64558,Low Availability,Global,2070,CORE,Forests (Harvested),4274.14745
64559,0 percent,Global,2075,CORE,Forests (Harvested),3443.184741
64560,10 percent,Global,2075,CORE,Forests (Harvested),3967.00511
64561,100 percent,Global,2075,CORE,Forests (Harvested),4402.022045
64562,20 percent,Global,2075,CORE,Forests (Harvested),4148.769782
64563,30 percent,Global,2075,CORE,Forests (Harvested),4236.192203
64564,40 percent,Global,2075,CORE,Forests (Harvested),4288.017987
64565,50 percent,Global,2075,CORE,Forests (Harvested),4322.55766
64566,60 percent,Global,2075,CORE,Forests (Harvested),4347.308644
64567,70 percent,Global,2075,CORE,Forests (Harvested),4365.972382
64568,80 percent,Global,2075,CORE,Forests (Harvested),4380.579817
64569,90 percent,Global,2075,CORE,Forests (Harvested),4392.353419
64570,High Availability,Global,2075,CORE,Forests (Harvested),4365.105394
64571,Low Availability,Global,2075,CORE,Forests (Harvested),4355.178492
64572,0 percent,Global,2080,CORE,Forests (Harvested),3459.862748
64573,10 percent,Global,2080,CORE,Forests (Harvested),3997.425044
64574,100 percent,Global,2080,CORE,Forests (Harvested),4474.054424
64575,20 percent,Global,2080,CORE,Forests (Harvested),4195.596011
64576,30 percent,Global,2080,CORE,Forests (Harvested),4292.845258
64577,40 percent,Global,2080,CORE,Forests (Harvested),4350.206185
64578,50 percent,Global,2080,CORE,Forests (Harvested),4387.923327
64579,60 percent,Global,2080,CORE,Forests (Harvested),4414.85023
64580,70 percent,Global,2080,CORE,Forests (Harvested),4435.121489
64581,80 percent,Global,2080,CORE,Forests (Harvested),4450.951385
64582,90 percent,Global,2080,CORE,Forests (Harvested),4463.643975
64583,High Availability,Global,2080,CORE,Forests (Harvested),4436.027741
64584,Low Availability,Global,2080,CORE,Forests (Harvested),4425.322886
64585,0 percent,Global,2085,CORE,Forests (Harvested),3474.900205
64586,10 percent,Global,2085,CORE,Forests (Harvested),4020.163719
64587,100 percent,Global,2085,CORE,Forests (Harvested),4534.732054
64588,20 percent,Global,2085,CORE,Forests (Harvested),4232.63673
64589,30 percent,Global,2085,CORE,Forests (Harvested),4338.359114
64590,40 percent,Global,2085,CORE,Forests (Harvested),4400.773855
64591,50 percent,Global,2085,CORE,Forests (Harvested),4441.959305
64592,60 percent,Global,2085,CORE,Forests (Harvested),4471.216249
64593,70 percent,Global,2085,CORE,Forests (Harvested),4493.117332
64594,80 percent,Global,2085,CORE,Forests (Harvested),4510.080502
64595,90 percent,Global,2085,CORE,Forests (Harvested),4523.629986
64596,High Availability,Global,2085,CORE,Forests (Harvested),4495.944799
64597,Low Availability,Global,2085,CORE,Forests (Harvested),4484.527728
64598,0 percent,Global,2090,CORE,Forests (Harvested),3487.990312
64599,10 percent,Global,2090,CORE,Forests (Harvested),4036.42502
64600,100 percent,Global,2090,CORE,Forests (Harvested),4584.803267
64601,20 percent,Global,2090,CORE,Forests (Harvested),4261.07195
64602,30 percent,Global,2090,CORE,Forests (Harvested),4374.618535
64603,40 percent,Global,2090,CORE,Forests (Harvested),4441.678085
64604,50 percent,Global,2090,CORE,Forests (Harvested),4485.853919
64605,60 percent,Global,2090,CORE,Forests (Harvested),4517.126886
64606,70 percent,Global,2090,CORE,Forests (Harvested),4540.4485
64607,80 percent,Global,2090,CORE,Forests (Harvested),4558.536439
64608,90 percent,Global,2090,CORE,Forests (Harvested),4572.99346
64609,High Availability,Global,2090,CORE,Forests (Harvested),4545.301599
64610,Low Availability,Global,2090,CORE,Forests (Harvested),4533.18239
64611,0 percent,Global,2095,CORE,Forests (Harvested),3501.333654
64612,10 percent,Global,2095,CORE,Forests (Harvested),4048.146596
64613,100 percent,Global,2095,CORE,Forests (Harvested),4625.10128
64614,20 percent,Global,2095,CORE,Forests (Harvested),4282.448333
64615,30 percent,Global,2095,CORE,Forests (Harvested),4402.918751
64616,40 percent,Global,2095,CORE,Forests (Harvested),4474.066563
64617,50 percent,Global,2095,CORE,Forests (Harvested),4520.843128
64618,60 percent,Global,2095,CORE,Forests (Harvested),4553.890201
64619,70 percent,Global,2095,CORE,Forests (Harvested),4578.490465
64620,80 percent,Global,2095,CORE,Forests (Harvested),4597.541111
64621,90 percent,Global,2095,CORE,Forests (Harvested),4612.720442
64622,High Availability,Global,2095,CORE,Forests (Harvested),4585.339778
64623,Low Availability,Global,2095,CORE,Forests (Harvested),4572.64547
64624,0 percent,Global,2100,CORE,Forests (Harvested),3514.783712
64625,10 percent,Global,2100,CORE,Forests (Harvested),4055.010444
64626,100 percent,Global,2100,CORE,Forests (Harvested),4655.736618
64627,20 percent,Global,2100,CORE,Forests (Harvested),4296.74035
64628,30 percent,Global,2100,CORE,Forests (Harvested),4423.137156
64629,40 percent,Global,2100,CORE,Forests (Harvested),4497.873659
64630,50 percent,Global,2100,CORE,Forests (Harvested),4546.89971
64631,60 percent,Global,2100,CORE,Forests (Harvested),4581.491627
64632,70 percent,Global,2100,CORE,Forests (Harvested),4607.201181
64633,80 percent,Global,2100,CORE,Forests (Harvested),4627.035041
64634,90 percent,Global,2100,CORE,Forests (Harvested),4642.827504
64635,High Availability,Global,2100,CORE,Forests (Harvested),4615.89573
64636,Low Availability,Global,2100,CORE,Forests (Harvested),4602.732434
64637,0 percent,Global,1975,CORE,Forests (Unmanaged),28566.82287
64638,10 percent,Global,1975,CORE,Forests (Unmanaged),28566.81976
64639,100 percent,Global,1975,CORE,Forests (Unmanaged),28566.81778
64640,20 percent,Global,1975,CORE,Forests (Unmanaged),28566.82153
64641,30 percent,Global,1975,CORE,Forests (Unmanaged),28566.82788
64642,40 percent,Global,1975,CORE,Forests (Unmanaged),28566.82704
64643,50 percent,Global,1975,CORE,Forests (Unmanaged),28566.82911
64644,60 percent,Global,1975,CORE,Forests (Unmanaged),28566.81607
64645,70 percent,Global,1975,CORE,Forests (Unmanaged),28566.81816
64646,80 percent,Global,1975,CORE,Forests (Unmanaged),28566.81444
64647,90 percent,Global,1975,CORE,Forests (Unmanaged),28566.81963
64648,High Availability,Global,1975,CORE,Forests (Unmanaged),28566.82937
64649,Low Availability,Global,1975,CORE,Forests (Unmanaged),28566.82657
64650,0 percent,Global,1990,CORE,Forests (Unmanaged),27544.62958
64651,10 percent,Global,1990,CORE,Forests (Unmanaged),27544.64097
64652,100 percent,Global,1990,CORE,Forests (Unmanaged),27544.63219
64653,20 percent,Global,1990,CORE,Forests (Unmanaged),27544.63128
64654,30 percent,Global,1990,CORE,Forests (Unmanaged),27544.62758
64655,40 percent,Global,1990,CORE,Forests (Unmanaged),27544.64062
64656,50 percent,Global,1990,CORE,Forests (Unmanaged),27544.63107
64657,60 percent,Global,1990,CORE,Forests (Unmanaged),27544.62764
64658,70 percent,Global,1990,CORE,Forests (Unmanaged),27544.63364
64659,80 percent,Global,1990,CORE,Forests (Unmanaged),27544.62701
64660,90 percent,Global,1990,CORE,Forests (Unmanaged),27544.62078
64661,High Availability,Global,1990,CORE,Forests (Unmanaged),27544.62496
64662,Low Availability,Global,1990,CORE,Forests (Unmanaged),27544.62977
64663,0 percent,Global,2005,CORE,Forests (Unmanaged),27403.58606
64664,10 percent,Global,2005,CORE,Forests (Unmanaged),27403.57462
64665,100 percent,Global,2005,CORE,Forests (Unmanaged),27403.58152
64666,20 percent,Global,2005,CORE,Forests (Unmanaged),27403.58217
64667,30 percent,Global,2005,CORE,Forests (Unmanaged),27403.57315
64668,40 percent,Global,2005,CORE,Forests (Unmanaged),27403.58443
64669,50 percent,Global,2005,CORE,Forests (Unmanaged),27403.58204
64670,60 percent,Global,2005,CORE,Forests (Unmanaged),27403.58174
64671,70 percent,Global,2005,CORE,Forests (Unmanaged),27403.58822
64672,80 percent,Global,2005,CORE,Forests (Unmanaged),27403.58292
64673,90 percent,Global,2005,CORE,Forests (Unmanaged),27403.57318
64674,High Availability,Global,2005,CORE,Forests (Unmanaged),27403.58258
64675,Low Availability,Global,2005,CORE,Forests (Unmanaged),27403.57471
64676,0 percent,Global,2010,CORE,Forests (Unmanaged),27419.04958
64677,10 percent,Global,2010,CORE,Forests (Unmanaged),27419.0337
64678,100 percent,Global,2010,CORE,Forests (Unmanaged),27419.0417
64679,20 percent,Global,2010,CORE,Forests (Unmanaged),27419.03598
64680,30 percent,Global,2010,CORE,Forests (Unmanaged),27419.03255
64681,40 percent,Global,2010,CORE,Forests (Unmanaged),27419.04731
64682,50 percent,Global,2010,CORE,Forests (Unmanaged),27419.04093
64683,60 percent,Global,2010,CORE,Forests (Unmanaged),27419.03189
64684,70 percent,Global,2010,CORE,Forests (Unmanaged),27419.02793
64685,80 percent,Global,2010,CORE,Forests (Unmanaged),27419.04058
64686,90 percent,Global,2010,CORE,Forests (Unmanaged),27419.04581
64687,High Availability,Global,2010,CORE,Forests (Unmanaged),27419.04779
64688,Low Availability,Global,2010,CORE,Forests (Unmanaged),27419.04124
64689,0 percent,Global,2015,CORE,Forests (Unmanaged),27120.28522
64690,10 percent,Global,2015,CORE,Forests (Unmanaged),27120.27115
64691,100 percent,Global,2015,CORE,Forests (Unmanaged),27120.27887
64692,20 percent,Global,2015,CORE,Forests (Unmanaged),27120.27709
64693,30 percent,Global,2015,CORE,Forests (Unmanaged),27120.27039
64694,40 percent,Global,2015,CORE,Forests (Unmanaged),27120.28291
64695,50 percent,Global,2015,CORE,Forests (Unmanaged),27120.28164
64696,60 percent,Global,2015,CORE,Forests (Unmanaged),27120.28291
64697,70 percent,Global,2015,CORE,Forests (Unmanaged),27120.27039
64698,80 percent,Global,2015,CORE,Forests (Unmanaged),27120.27709
64699,90 percent,Global,2015,CORE,Forests (Unmanaged),27120.27115
64700,High Availability,Global,2015,CORE,Forests (Unmanaged),27120.27974
64701,Low Availability,Global,2015,CORE,Forests (Unmanaged),27120.27433
64702,0 percent,Global,2020,CORE,Forests (Unmanaged),27116.11466
64703,10 percent,Global,2020,CORE,Forests (Unmanaged),27000.77307
64704,100 percent,Global,2020,CORE,Forests (Unmanaged),26929.1858
64705,20 percent,Global,2020,CORE,Forests (Unmanaged),26973.38262
64706,30 percent,Global,2020,CORE,Forests (Unmanaged),26959.33557
64707,40 percent,Global,2020,CORE,Forests (Unmanaged),26950.51411
