,region,year,policy,agg.land,hist_value,Protection,value
174,Indonesia,2050,CORE,Forests (Unmanaged),12043.95187,10,0.099809173
175,Indonesia,2050,CORE,Grassland,3360.937354,10,0.220280274
176,Indonesia,2050,CORE,Grazed Pasture,338.5750171,10,-0.343436143
177,Indonesia,2050,CORE,urban,10.4703221,10,0
178,Japan,2050,CORE,Biomass,59.4635291,10,-5.932815536
179,Japan,2050,CORE,Crops,499.5116793,10,0.078042687
180,Japan,2050,CORE,desert,0.111519,10,0
181,Japan,2050,CORE,Forests (Harvested),210.066557,10,0.081047269
182,Japan,2050,CORE,Forests (Unmanaged),2681.447819,10,0.386598443
183,Japan,2050,CORE,Grassland,588.442031,10,0.239470974
184,Japan,2050,CORE,Grazed Pasture,0,10,NA
185,Japan,2050,CORE,Shrubland,379.1770583,10,0.239885658
186,Japan,2050,CORE,urban,13.4527,10,0
187,Mexico,2050,CORE,Biomass,93.87897252,10,0.71863618
188,Mexico,2050,CORE,Crops,2825.863713,10,-0.247844305
189,Mexico,2050,CORE,desert,0.5904011,10,0
190,Mexico,2050,CORE,Forests (Harvested),347.2903536,10,-0.064938465
191,Mexico,2050,CORE,Forests (Unmanaged),4640.750189,10,0.038429555
192,Mexico,2050,CORE,Grassland,10262.24303,10,0.039442827
193,Mexico,2050,CORE,Grazed Pasture,1406.469486,10,-0.051602516
194,Mexico,2050,CORE,Shrubland,3474.524035,10,-0.008384022
195,Mexico,2050,CORE,urban,14.8212871,10,0
196,Middle East,2050,CORE,Biomass,25.7431949,10,1.039531721
197,Middle East,2050,CORE,Crops,4265.858014,10,-0.038228189
198,Middle East,2050,CORE,desert,1716.628733,10,0
199,Middle East,2050,CORE,Forests (Harvested),27.5454093,10,-0.070938657
200,Middle East,2050,CORE,Forests (Unmanaged),92.05426255,10,0.063671951
201,Middle East,2050,CORE,Grassland,25984.07797,10,0.00312245
202,Middle East,2050,CORE,Grazed Pasture,427.5920323,10,0.162521775
203,Middle East,2050,CORE,Shrubland,10189.21995,10,-0.026305824
204,Middle East,2050,CORE,urban,23.3373403,10,0
205,Pakistan,2050,CORE,Biomass,8.227450179,10,-0.682184043
206,Pakistan,2050,CORE,Crops,2608.8611,10,-0.926913055
207,Pakistan,2050,CORE,desert,306.8867301,10,0
208,Pakistan,2050,CORE,Forests (Harvested),304.1259,10,-0.338572422
209,Pakistan,2050,CORE,Forests (Unmanaged),1.657473931,10,6.372802396
210,Pakistan,2050,CORE,Grassland,199.2656999,10,2.656579637
211,Pakistan,2050,CORE,Grazed Pasture,777.664064,10,-0.996961661
212,Pakistan,2050,CORE,Shrubland,2765.525212,10,1.672088329
213,Pakistan,2050,CORE,urban,5.76933101,10,0
214,Russia,2050,CORE,Biomass,1145.497398,10,-4.289014099
215,Russia,2050,CORE,Crops,14246.2105,10,-0.140557332
216,Russia,2050,CORE,desert,3157.2969,10,0
217,Russia,2050,CORE,Forests (Harvested),3126.436651,10,0.008963023
218,Russia,2050,CORE,Forests (Unmanaged),58802.37916,10,0.390294225
219,Russia,2050,CORE,Grassland,55406.76124,10,0.145107731
220,Russia,2050,CORE,Grazed Pasture,500.9602013,10,0.104833116
221,Russia,2050,CORE,Shrubland,24703.7691,10,0.113899332
222,Russia,2050,CORE,urban,20.63808,10,0
223,South Africa,2050,CORE,Biomass,10.53739403,10,0.439087986
224,South Africa,2050,CORE,Crops,1177.246655,10,-0.093454499
225,South Africa,2050,CORE,desert,3.54781,10,0
226,South Africa,2050,CORE,Forests (Harvested),181.575503,10,-0.059078709
227,South Africa,2050,CORE,Forests (Unmanaged),85.58751983,10,0.539195875
228,South Africa,2050,CORE,Grassland,11280.40782,10,0.026010091
229,South Africa,2050,CORE,Grazed Pasture,1085.92055,10,-0.11201543
230,South Africa,2050,CORE,Shrubland,682.3744586,10,-0.057827259
231,South Africa,2050,CORE,urban,6.69471,10,0
232,South America_Northern,2050,CORE,Biomass,6.796375813,10,-5.493986799
233,South America_Northern,2050,CORE,Crops,465.7202489,10,0.020120922
234,South America_Northern,2050,CORE,desert,8.65778204,10,0
235,South America_Northern,2050,CORE,Forests (Harvested),41.97719618,10,0.050291271
236,South America_Northern,2050,CORE,Forests (Unmanaged),10809.42024,10,0.018179163
237,South America_Northern,2050,CORE,Grassland,4317.956378,10,0.01584969
238,South America_Northern,2050,CORE,Grazed Pasture,257.9830861,10,0.133449152
239,South America_Northern,2050,CORE,Shrubland,105.3135129,10,-0.000455375
240,South America_Northern,2050,CORE,urban,4.27827102,10,0
241,South America_Southern,2050,CORE,Biomass,32.65078629,10,-1.552280446
242,South America_Southern,2050,CORE,Crops,2805.897709,10,0.006741717
243,South America_Southern,2050,CORE,desert,510.4893,10,0
244,South America_Southern,2050,CORE,Forests (Harvested),704.5153323,10,-0.021490093
245,South America_Southern,2050,CORE,Forests (Unmanaged),16106.59353,10,0.008197782
246,South America_Southern,2050,CORE,Grassland,18459.90557,10,0.005278725
247,South America_Southern,2050,CORE,Grazed Pasture,872.9317476,10,0.034251586
248,South America_Southern,2050,CORE,Shrubland,1808.04095,10,-0.005837708
249,South America_Southern,2050,CORE,urban,7.90962,10,0
250,South Asia,2050,CORE,Biomass,5.1029123,10,-0.865920092
251,South Asia,2050,CORE,Crops,2412.95475,10,-0.603772329
252,South Asia,2050,CORE,desert,89.652111,10,0
253,South Asia,2050,CORE,Forests (Harvested),457.5320871,10,-0.215202767
